agency,year,state,population,ORI,female_employees_civilians,female_employees_officers,female_employees_total,male_employees_civilians,male_employees_officers,male_employees_total,total_employees_civilians,total_employees_officers,total_employees_total,officers_killed_by_accident,officers_killed_by_felony,officers_killed_total,assaults_with_injury_gun,assaults_with_injury_knife,assaults_with_injury_oth_weap,assaults_with_injury_total,assaults_with_injury_unarmed,assaults_no_injury_gun,assaults_no_injury_knife,assaults_no_injury_oth_weap,assaults_no_injury_total,assaults_no_injury_unarmed,ambush_assault_gun,ambush_assault_knife,ambush_assault_oth_weap,ambush_assault_unarmed,ambush_total_assaults,burglary_assault_gun,burglary_assault_knife,burglary_assault_oth_weap,burglary_assault_unarmed,burglary_total_assaults,deranged_assault_gun,deranged_assault_knife,deranged_assault_oth_weap,deranged_assault_unarmed,deranged_total_assaults,disturbance_assault_gun,disturbance_assault_knife,disturbance_assault_oth_weap,disturbance_assault_unarmed,disturbance_total_assaults,oth_arrest_assault_gun,oth_arrest_assault_knife,oth_arrest_assault_oth_weap,oth_arrest_assault_unarmed,oth_arrest_total_assaults,prisoner_assault_gun,prisoner_assault_knife,prisoner_assault_oth_weap,prisoner_assault_unarmed,prisoner_total_assaults,riot_assault_gun,riot_assault_knife,riot_assault_oth_weap,riot_assault_unarmed,riot_total_assaults,robbery_assault_gun,robbery_assault_knife,robbery_assault_oth_weap,robbery_assault_unarmed,robbery_total_assaults,susp_pers_assault_gun,susp_pers_assault_knife,susp_pers_assault_oth_weap,susp_pers_assault_unarmed,susp_pers_total_assaults,traffic_assault_gun,traffic_assault_knife,traffic_assault_oth_weap,traffic_assault_unarmed,traffic_total_assaults,all_other_assault_gun,all_other_assault_knife,all_other_assault_oth_weap,all_other_assault_unarmed,total_assault_gun,total_assault_knife,total_assault_oth_weap,total_assault_unarmed,total_assaults_total
New York City Police Department,1960,New York,7781984,NY03030,0,0,0,1107,23519,24626,1107,23519,24626,0,2,2,0,0,0,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York City Police Department,1961,New York,7781984,NY03030,0,0,0,1150,24382,25532,1150,24382,25532,0,3,3,0,0,0,398,0,0,0,0,1824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York City Police Department,1962,New York,7820910,NY03030,0,0,0,1174,24835,26009,1174,24835,26009,0,4,4,0,0,0,328,0,0,0,0,1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York City Police Department,1963,New York,7881863,NY03030,0,0,0,1159,29423,30582,1159,29423,30582,0,4,4,0,0,0,349,0,0,0,0,1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York City Police Department,1964,New York,8009510,NY03030,0,0,0,1231,25897,27128,1231,25897,27128,0,6,6,0,0,0,582,0,0,0,0,1857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York City Police Department,1965,New York,7840000,NY03030,0,0,0,1670,27001,28671,1670,27001,28671,0,1,1,0,0,0,581,0,0,0,0,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York City Police Department,1966,New York,7960000,NY03030,0,0,0,1775,27418,29193,1775,27418,29193,0,6,6,0,0,0,1615,0,0,0,0,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York City Police Department,1967,New York,8173303,NY03030,0,0,0,2643,27462,30105,2643,27462,30105,0,5,5,0,0,0,456,0,0,0,0,2346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York City Police Department,1968,New York,8072665,NY03030,0,0,0,3696,29939,33635,3696,29939,33635,0,4,4,0,0,0,805,0,0,0,0,1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York City Police Department,1969,New York,8152095,NY03030,0,0,0,2017,31578,33595,2017,31578,33595,0,2,2,23,50,136,886,677,97,107,989,2236,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York City Police Department,1970,New York,7867760,NY03030,0,0,0,2984,31671,34655,2984,31671,34655,0,11,11,45,45,0,1182,1092,123,119,8,2101,1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York City Police Department,1971,New York,7868000,NY03030,472,322,794,1858,30363,32221,2330,30685,33015,0,12,12,45,31,137,958,745,213,171,34,2213,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York City Police Department,1972,New York,7889921,NY03030,426,311,737,1558,30517,32075,1984,30828,32812,2,5,7,50,57,159,1010,744,379,96,216,1090,399,26,0,21,6,53,19,14,19,36,88,2,4,9,68,83,46,17,24,134,221,83,42,89,398,612,0,5,12,143,160,0,0,5,3,8,162,42,19,49,272,36,6,29,65,136,16,4,72,71,163,41,17,76,170,431,151,375,1143,2100
New York City Police Department,1973,New York,7843200,NY03030,0,622,622,4427,29239,33666,4427,29861,34288,2,6,8,119,112,319,2169,1619,445,81,149,1089,414,58,5,35,18,116,9,11,26,76,122,1,16,18,133,168,33,16,60,142,251,79,47,99,842,1067,1,2,16,238,257,1,3,36,28,68,189,54,20,85,348,54,9,18,63,144,37,1,59,93,190,102,29,81,315,564,193,468,2033,3258
New York City Police Department,1974,New York,7716600,NY03030,3003,715,3718,1617,30318,31935,4620,31033,35653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York City Police Department,1975,New York,7422506,NY03030,0,279,279,4600,28522,33122,4600,28801,33401,1,6,7,124,89,478,3029,2338,349,61,122,862,330,19,0,18,2,39,21,5,26,89,141,2,11,38,299,350,40,39,113,395,587,71,36,127,1089,1323,1,5,22,271,299,1,0,50,39,90,172,23,29,87,311,27,3,20,67,117,18,4,53,108,183,101,24,104,222,473,150,600,2668,3891
New York City Police Department,1976,New York,7530493,NY03030,1587,294,1881,2057,25495,27552,3644,25789,29433,0,0,0,52,48,260,1660,1300,102,17,31,199,49,5,3,16,8,32,4,1,6,44,55,2,3,11,163,179,11,12,42,116,181,44,28,86,636,794,7,2,9,119,137,0,0,32,13,45,53,4,10,63,130,10,4,9,42,65,8,2,28,53,91,10,6,42,92,154,65,291,1349,1859
New York City Police Department,1977,New York,7481613,NY03030,0,0,0,4702,24895,29597,4702,24895,29597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York City Police Department,1978,New York,7242886,NY03030,3435,539,3974,1600,23869,25469,5035,24408,29443,0,0,0,107,167,269,3378,2835,240,46,67,489,136,12,5,12,3,32,13,8,12,130,163,2,20,24,332,378,57,30,20,169,276,120,102,153,1686,2061,0,4,5,206,215,0,7,25,94,126,94,18,6,98,216,9,4,5,88,106,33,6,54,109,202,7,9,20,56,347,213,336,2971,3867
New York City Police Department,1979,New York,7109420,NY03030,0,509,509,4702,22801,27503,4702,23310,28012,0,4,4,126,110,170,2725,2319,188,29,60,601,324,3,7,12,16,38,7,5,7,103,122,4,17,26,259,306,38,35,28,241,342,104,55,68,1177,1404,4,0,4,265,273,8,0,4,58,70,107,7,12,144,270,2,3,4,52,61,17,5,50,134,206,20,5,15,194,314,139,230,2643,3326
